CDUORG;NOME;UF;MUNICIPIO;ENDERECO;BAIRRO;CEP
112000058;AGÊNCIA REGIONAL DO TRABALHO EM PALMARES;PE;PALMARES;.;;99999999
033904000;GERENCIA REGIONAL DO TRABALHO EM PAULISTA;PE;PAULISTA;...;;99999999
033906003;AGÊNCIA REGIONAL DO TRABALHO EM PAULISTA;PE;PAULISTA;.;;99999999
033905000;GERÊNCIA REGIONAL DO TRABALHO EM PETROLINA;PE;PETROLINA;RUA SAO VICENTE DE PAULA, 168;ATRÁS DA BANCA;56308050
033903003;AGÊNCIA REGIONAL DO TRABALHO EM PETROLÂNDIA;PE;PETROLÂNDIA;RUA MANOEL RODRIGUES DE ALMEIDA, 29 -B QUADRA CS;;56460000
033000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO EM PERNAMBUCO;PE;RECIFE;AV. AGAMENON MAGALHAES, 2000;ESPINHEIRO;52021170
033900004;AGÊNCIA DE ATENDIMENTO DE RECIFE;PE;RECIFE;INEXISTENTE;;10000000
033901002;AGÊNCIA DE ATENDIMENTO DO TRABALHO;PE;RECIFE;INEXISTENTE;;10000000
033905002;AGÊNCIA DE ATENDIMENTO DO TRABALHO;PE;RECIFE;INEXISTENTE;;10000000
033905003;AGÊNCIA DE ATENDIMENTO DO TRABALHO;PE;RECIFE;INEXISTENTE;;10000000
033901001;AGÊNCIA REGIONAL DO TRABALHO EM  SALGUEIRO;PE;SALGUEIRO;.;;99999999
112000070;AGÊNCIA REGIONAL DO TRABALHO EM SALGUEIRO;PE;SALGUEIRO;RUA JOSE VITORINO DE BARROS SILVA, 305;SANTO ANTÔNIO;56000000
033905001;AGÊNCIA REGIONAL DO TRABALHO EM SANTA MARIA DA BOA VISTA;PE;SANTA MARIA DA BOA VISTA;AV MONSENHOR ANGELO SAMPAIO, 333;CENTRO;56380000
033902004;AGÊNCIA REGIONAL DO TRABALHO EM SERRA TALHADA;PE;SERRA TALHADA;RUA IRNÉRIO INÁCIO, 200;B. N.S. DA PENHA;56903450
112000066;AGÊNCIA REGIONAL DO TRABALHO EM SURUBIM;PE;SURUBIM;RUA SEVERINO CLEMENTE DE ARRUDA, 315;CENTRO;55750000
033902005;AGÊNCIA REGIONAL DO TRABALHO EM SÃO JOSÉ DO EGITO;PE;SÃO JOSÉ DO EGITO;"PC SERESTEIRO JOAO PEQUENO, 34""";"CENTRO"";56700000""";
033904003;AGÊNCIA DE ATENDIMENTO DE TIMBAUBA;PE;TIMBAÚBA;RUA WALFREDO PERREIRA LIMA, 50;CENTRO;55870000
033906006;AGÊNCIA REGIONAL DO TRABALHO EM  TIMBAÚBA;PE;TIMBAÚBA;.;;99999999
112000060;AGÊNCIA REGIONAL DO TRABALHO EM TIMBAÚBA;PE;TIMBAÚBA;RUA MAL DANTAS BARRETO, 291;CENTRO;55870000
033900005;AGÊNCIA REGIONAL DO TRABALHO EM VITÓRIA DE SANTO ANTÃO;PE;VITÓRIA DE SANTO ANTÃO;RUA HENRIQUE DIAS, Nº 218;LIVRAMENTO;55602280
037900001;AGÊNCIA REGIONAL DO TRABALHO EM CAMPO MAIOR;PI;CAMPO MAIOR;RUA JOSÉ PAULINO, N 276;CENTRO;64280000
037900002;AGÊNCIA REGIONAL DO TRABALHO EM CORRENTE;PI;CORRENTE;RUA GETÚLIO VARGAS, N 161;CENTRO;64980000
037900003;AGÊNCIA REGIONAL DO TRABALHO EM FLORIANO;PI;FLORIANO;...;;99999999
037901000;GERÊNCIA REGIONAL DO TRABALHO EM PARNAÍBA;PI;PARNAÍBA;RUA MONSENHOR JOAQUIM LOPES, N 485, BAIRRO DO CARMO;;64200150
037900004;AGÊNCIA REGIONAL DO TRABALHO EM PICOS;PI;PICOS;RUA JOANA ALVES COSTA, N 225;CANTO DA VÁRZEA;64600164
037900005;AGÊNCIA DE ATENDIMENTO DE SAO JOAO DO PIAUI;PI;SÃO JOÃO DO PIAUÍ;INEXISTENTE;;64430000
037000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO PIAUÍ;PI;TERESINA;AV. FREI SERAFIM, 1860;CENTRO;64001020
037900006;AGÊNCIA DE ATENDIMENTO DE URUCUI;PI;URUÇUÍ;INEXISTENTE;;64860000
022903001;AGÊNCIA REGIONAL DO TRABALHO EM APUCARANA;PR;APUCARANA;AVENIDA CURITIBA, 1188;CENTRO;86800704
022903002;AGÊNCIA REGIONAL DO TRABALHO EM CAMBIRA;PR;ARAPONGAS;.;;99999999
022900001;AGÊNCIA REGIONAL DO TRABALHO EM ARAUCÁRIA;PR;ARAUCÁRIA;RUA CORONEL JOAQUIM PALHANO, 62;CENTRO;83702440
022903011;AGÊNCIA REGIONAL DO TRABALHO EM ASSAÍ;PR;ASSAÍ;.;;99999999
022901001;AGÊNCIA REGIONAL DO TRABALHO EM ASSIS CHATEAUBRIAND;PR;ASSIS CHATEAUBRIAND;.;;99999999
022900002;AGÊNCIA DE ATENDIMENTO DE BOCAIVA DO SUL;PR;BOCAIÚVA DO SUL;AV. BENJAMIM CONSTANT TEIXEIRA, 810;;83702010
022900003;AGÊNCIA REGIONAL DO TRABALHO EM CAMPO LARGO;PR;CAMPO LARGO;.;,;99999999
022904001;AGÊNCIA REGIONAL DO TRABALHO EM CAMPO MOURÃO;PR;CAMPO MOURÃO;RUA BRASIL, 947;CENTRO;87301140
022901002;AGÊNCIA DE ATENDIMENTO DE CAPANEMA;PR;CAPANEMA;AV. BRASIL, S/N;;85760000
022901000;GERÊNCIA REGIONAL DO TRABALHO EM CASCAVEL;PR;CASCAVEL;RUA SOUZA NAVES, 3925;CENTRO;85810070
022904002;AGÊNCIA REGIONAL DO TRABALHO EM CIANORTE;PR;CIANORTE;AVENIDA PARANÁ, 510  SALA 02;ZONA 01;87200087
022904003;AGÊNCIA REGIONAL DO TRABALHO EM COLORADO;PR;COLORADO;.;;99999999
022903003;AGÊNCIA REGIONAL DO TRABALHO EM CORNÉLIO PROCÓPIO;PR;CORNÉLIO PROCÓPIO;RUA MASSUD AMIM, 165;CALÇADÃO  CENTRO;86300000
022000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO PARANÁ;PR;CURITIBA;RUA JOSÉ LOUREIRO, 574;CENTRO;80010924
022901003;AGÊNCIA DE ATENDIMENTO DE DOIS VIZINHOS;PR;DOIS VIZINHOS;AV. RIO GRANDE DO SUL, 130;;85550000
022902000;GERÊNCIA REGIONAL DO TRABALHO EM FOZ DO IGUAÇU;PR;FOZ DO IGUAÇU;AVENIDA JORGE SCHIMMELPFENG, 143;CENTRO;85851110
022901004;AGÊNCIA REGIONAL DO TRABALHO EM FRANCISCO BELTRÃO;PR;FRANCISCO BELTRÃO;AV. ANTONIO DE PAIVA CANTELMO, 919;CENTRO;85601005
022904004;AGÊNCIA REGIONAL DO TRABALHO EM GOIO-ERÊ;PR;GOIOERÊ;.;;99999999
022901005;AGÊNCIA REGIONAL DO TRABALHO EM GUARANIAÇU;PR;GUARANIAÇU;.;;99999999
022905001;AGÊNCIA REGIONAL DO TRABALHO EM  GUARAPUAVA;PR;GUARAPUAVA;.;;99999999
112000091;AGÊNCIA REGIONAL DO TRABALHO EM GUARAPUAVA ***A DESATIVAR;PR;GUARAPUAVA;RUA SENADOR PINHEIRO MACHADO, 1794, SALA 03 E 05;Centro;85010100
112000098;GERÊNCIA REGIONAL DO TRABALHO EM GUARAPUAVA;PR;GUARAPUAVA;RUA SENADOR PINHEIRO MACHADO, 1794, SALA 03 E 05;Centro;85010100
022905002;AGÊNCIA REGIONAL DO TRABALHO EM IBAITI;PR;IBAITI;.;;99999999
022905003;AGENCIA REGIONAL DO TRABALHO EM IRATI;PR;IRATI;.;;99999999
022903004;AGÊNCIA REGIONAL DO TRABALHO EM IVAIPORÃ;PR;IVAIPORÃ;.;;99999999
022903005;AGENCIA REGIONAL DO TRABALHO EM JACAREZINHO;PR;JACAREZINHO;.;;99999999
022905004;AGÊNCIA DE ATENDIMENTO DE JAGUARIAIVA;PR;JAGUARIAÍVA;RUA DR DOMINGOS CUNHA,35;CENTRO;84200000
022903006;AGÊNCIA DE ATENDIMENTO DE JANDAIA DO SUL;PR;JANDAIA DO SUL;INEXISTENTE;;86900000
022900004;AGÊNCIA REGIONAL DO TRABALHO EM LAPA;PR;LAPA;.;;99999999
022901006;AGÊNCIA REGIONAL DO TRABALHO EM LARANJEIRAS DO SUL;PR;LARANJEIRAS DO SUL;.;;99999999
022903000;GERÊNCIA REGIONAL DO TRABALHO EM LONDRINA;PR;LONDRINA;AVENIDA RIO BRANCO, 269;JARDIM SHANGRI-LÁ;86070535
022902001;AGÊNCIA REGIONAL DO TRABALHO MARECHAL CANDIDO RONDON.;PR;MARECHAL CÂNDIDO RONDON;.;;99999999
022904000;GERÊNCIA REGIONAL DO TRABALHO EM MARINGÁ;PR;MARINGÁ;RUA NÉO ALVES MARTINS, 1124;ZONA 3;87050110
022902002;AGÊNCIA REGIONAL DO TRABALHO EM MEDIANEIRA;PR;MEDIANEIRA;.;;99999999
022904005;AGÊNCIA REGIONAL DO TRABALHO EM NOVA LONDRINA;PR;NOVA LONDRINA;.;;99999999
022905005;AGÊNCIA REGIONAL DO TRABALHO EM PALMAS;PR;PALMAS;.;;99999999
022902003;AGÊNCIA REGIONAL DO TRABALHO EM PALOTINA;PR;PALOTINA;.;;99999999
022900005;AGÊNCIA REGIONAL DO TRABALHO EM PARANAGUÁ;PR;PARANAGUÁ;AVENIDA CORONEL SANTA RITA, 246;TUIUTI;83203630
022904006;AGÊNCIA REGIONAL DO TRABALHO EM PARANAVAÍ;PR;PARANAVAÍ;AVENIDA DISTRITO FEDERAL, 1105;CENTRO;87701310
022901007;AGÊNCIA REGIONAL DO TRABALHO EM PATO BRANCO;PR;PATO BRANCO;.;;99999999
022905000;GERÊNCIA REGIONAL DO TRABALHO EM PONTA GROSSA;PR;PONTA GROSSA;RUA REINALDO RIBAS SILVEIRA, 18 E 20;RONDA;84051040
022903007;AGÊNCIA REGIONAL DO TRABALHO EM PORECATU;PR;PORECATU;.;;99999999
022905006;AGÊNCIA REGIONAL DO TRABALHO EM PRUDENTÓPOLIS;PR;PRUDENTÓPOLIS;.;;99999999
022904007;AGÊNCIA REGIONAL DO TRABALHO EM MARECHAL CANDIDO RONDON;PR;RONDON;XXX;;99999999
022904008;AGÊNCIA REGIONAL DO TRABALHO EM SANTA IZABEL DO IVAÍ;PR;SANTA ISABEL DO IVAÍ;.;;99999999
022903008;AGÊNCIA REGIONAL DO TRABALHO EM SANTO ANTÔNIO DA PLATINA;PR;SANTO ANTÔNIO DA PLATINA;RUA DOM PEDRO II, Nº 155;CENTRO;86430000
022901008;AGÊNCIA REGIONAL DO TRABALHO EM STO ANTONIO DO SUDOESTE;PR;SANTO ANTÔNIO DO SUDOESTE;.;;99999999
022905007;AGÊNCIA REGIONAL DO TRABALHO EM SIQUEIRA CAMPOS;PR;SIQUEIRA CAMPOS;.;;99999999
022903009;AGÊNCIA DE ATENDIMENTO DE SAO JERONIMO DA SERRA;PR;SÃO JERÔNIMO DA SERRA;PRAÇA CORONEL DEOLIN, S/N;;86270000
022900006;AGÊNCIA REGIONAL DO TRABALHO EM SÃO JOSÉ DOS PINHAIS;PR;SÃO JOSÉ DOS PINHAIS;RUA JOAQUIM NABUCO, 2176;CENTRO;83005160
022900007;AGÊNCIA REGIONAL DO TRABALHO EM SÃO MATEUS DO SUL;PR;SÃO MATEUS DO SUL;.;;99999999
022905008;AGÊNCIA REGIONAL DO TRABALHO EM TELÊMACO BORBA;PR;TELÊMACO BORBA;.;;99999999
022901009;AGÊNCIA REGIONAL DO TRABALHO EM  TOLEDO;PR;TOLEDO;.;;99999999
112000090;AGÊNCIA REGIONAL DO TRABALHO EM TOLEDO;PR;TOLEDO;RUA ALMIRANTE BARROSO, 3113;CENTRO;85900020
022904009;AGÊNCIA REGIONAL DO TRABALHO EM UMUARAMA;PR;UMUARAMA;AV. RIO BRANCO, 4211;ZONA I;87501130
022905009;AGÊNCIA REGIONAL DO TRABALHO EM UNIÃO DA VITÓRIA;PR;UNIÃO DA VITÓRIA;.;;88888888
022903010;AGÊNCIA REGIONAL DO TRABALHO DO TRABALHO EM URAÍ;PR;URAÍ;XXX;;99999999
019907001;AGÊNCIA DE ATENDIMENTO DE ANGRA DOS REIS;RJ;ANGRA DOS REIS;RUA NILO PEÇANHA, 30;;26131970
019910001;AGÊNCIA REGIONAL DO TRABALHO EM ANGRA DOS REIS;RJ;ANGRA DOS REIS;RUA  JOSÉ RIEGERT, 48 LJ 01 E 02;;23900200
019902001;AGÊNCIA REGIONAL DO TRABALHO EM ARARUAMA;RJ;ARARUAMA;.;;99999999
019905001;AGÊNCIA REGIONAL DO TRABALHO EM ALCÂNTARA;RJ;ARARUAMA;.;;99999999
019909001;AGÊNCIA REGIONAL DO TRABALHO EM BARRA DO PIRAÍ;RJ;BARRA DO PIRAÍ;RUA DR CLODOVEU, 03;;27135020
019909002;AGÊNCIA REGIONAL DO TRABALHO EM BARRA MANSA;RJ;BARRA MANSA;.;;99999999
019904001;AGÊNCIA REGIONAL DO TRABALHO EM BELFORD ROXO;RJ;BELFORD ROXO;AV. FLORIPES DA ROCHA, 579;CENTRO;26113340
019903001;AGÊNCIA DE ATENDIMENTO DE CAMPOS;RJ;BOM JESUS DO ITABAPOANA;AV. ROBERTO SILVEIRA, 102;;28360000
019903008;AGÊNCIA DE ATENDIMENTO BOM JESUS DE ITAPAPUANA;RJ;BOM JESUS DO ITABAPOANA;INEXISTENTE;;21000000
019911001;AGÊNCIA REGIONAL DO TRABALHO EM BOM JESUS DO  ITABAPOANA;RJ;BOM JESUS DO ITABAPOANA;RUA JOSE ALBERONI, 100;;28360000
112000105;AGÊNCIA REGIONAL DO TRABALHO EM BOM JESUS DO ITABAPOANA;RJ;BOM JESUS DO ITABAPOANA;RUA JOSE ALBERONI, 100;CENTRO;28360000
019902000;GERÊNCIA REGIONAL DO TRABALHO EM CABO FRIO;RJ;CABO FRIO;AV. HENRIQUE TERRA, 3;Jardim Excelsior;28915115
019902002;AGÊNCIA REGIONAL DO TRABALHO EM ARMAÇÃO DOS BÚZIOS;RJ;CABO FRIO;.;;99999999
019906001;AGÊNCIA REGIONAL DO TRABALHO EM CACHOEIRAS DE MACACU;RJ;CACHOEIRAS DE MACACU;.;;99999999
019906002;AGÊNCIA REGIONAL DO TRABALHO EM CANTAGALO;RJ;CANTAGALO;RUA CESAR FREIJANES, 67, LOJA;;28500000
019906003;AGÊNCIA REGIONAL DO TRABALHO EM CORDEIRO;RJ;CORDEIRO;.;;99999999
019906005;AGÊNCIA DE ATENDIMENTO DE CORDEIRO;RJ;CORDEIRO;RUA XV DE NOVENBRO, 76;;28540000
019904000;GERÊNCIA REGIONAL DO TRABALHO EM DUQUE DE CAXIAS;RJ;DUQUE DE CAXIAS;RUA ALMIRANTE GRENFALL, 405, LOJA 1.;;25085135
019904002;AGÊNCIA DE ATENDIMENTO DUQUE DE CAXIAS;RJ;DUQUE DE CAXIAS;RUA ZEZINHO, 169;;26520360
019905002;AGÊNCIA REGIONAL DO TRABALHO EM ITABORAÍ;RJ;ITABORAÍ;RUA ANTÔNIO PINTO, 214;NOVA CIDADE;24800069
019907002;AGÊNCIA REGIONAL DO TRABALHO EM AUSTIN;RJ;ITAGUAÍ;.;;99999999
019907003;AGÊNCIA DE ATENDIMENTO DE ITAGUAI;RJ;ITAGUAÍ;INEXISTENTE;;26000000
