CDUORG;NOME;UF;MUNICIPIO;ENDERECO;BAIRRO;CEP
019000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO RIO DE JANEIRO;RJ;RIO DE JANEIRO;AV. Pres. ANTÔNIO CARLOS, 375, Sl. 914, 929 E 1038;CENTRO;20020909
019900001;AGÊNCIA DE ATENDIMENTO DE BANGU;RJ;RIO DE JANEIRO;RUA SILVA CARDOSO, 349;BANGU;21810030
019900002;AGÊNCIA REGIONAL DO TRABALHO EM BOTAFOGO;RJ;RIO DE JANEIRO;.;;99999999
019900003;AGÊNCIA REGIONAL DO TRABALHO EM CAMPO GRANDE;RJ;RIO DE JANEIRO;RUA DOM PEDRITO, 01;CAMPO GRANDE;23070170
019900004;AGÊNCIA REGIONAL DO TRABALHO NA ILHA DO GOVERNADOR;RJ;RIO DE JANEIRO;RUA ORCADAS, 435, GUARABU;ILHA DO GOVERNADOR;21920257
019900005;AGÊNCIA REGIONAL DO TRABALHO EM MADUREIRA;RJ;RIO DE JANEIRO;RUA CARVALHO DE SOUZA, 274;MADUREIRA;21350180
019900006;AGÊNCIA REGIONAL DO TRABALHO EM MARECHAL HERMES;RJ;RIO DE JANEIRO;RUA BRIGADEIRO DELAMARE, 255 A;MARECHAL HERMES;26120270
019900007;AGÊNCIA REGIONAL DO TRABALHO NO MÉIER;RJ;RIO DE JANEIRO;AV. DOM HELDER CÂMARA, 5474 - NORTESHOPPING;MEIER;20771004
019900008;AGÊNCIA REGIONAL DO TRABALHO NA PENHA;RJ;RIO DE JANEIRO;.;;99999999
019900009;AGÊNCIA REGIONAL DO TRABALHO EM SANTA CRUZ;RJ;RIO DE JANEIRO;.;;99999999
019900010;AGÊNCIA REGIONAL DO TRABALHO EM SÃO CRISTÓVÃO;RJ;RIO DE JANEIRO;.;;99999999
019900011;AGÊNCIA DE ATENDIMENTO BARRA DA TIJUCA;RJ;RIO DE JANEIRO;INEXISTENTE;INEXISTENTE;21000000
019900012;AGÊNCIA DE ATENDIMENTO CASCADURA;RJ;RIO DE JANEIRO;RUA IGUAPÉ, 10 COBERTURA;CASCADURA;31390020
019900013;AGÊNCIA DE ATENDIMENTO DA GÁVEA;RJ;RIO DE JANEIRO;INEXISTENTE;INEXISTENTE;21000000
019900014;AGÊNCIA DE ATENDIMENTO DE IRAJA;RJ;RIO DE JANEIRO;INEXISTENTE;INEXISTENTE;21000000
019900015;AGÊNCIA REGIONAL DO TRABALHO EM JACAREPAGUÁ;RJ;RIO DE JANEIRO;ESTRADA DO GABINAL , 313 - LOJAS 150B151BE 152B;JACARÉPAGUÁ;22760156
019900016;AGÊNCIA REGIONAL DO TRABALHO EM PAVUNA;RJ;RIO DE JANEIRO;.;;99999999
019900017;AGÊNCIA DE ATENDIMENTO RIO COMPRIDO;RJ;RIO DE JANEIRO;INEXISTENTE;INEXISTENTE;21000000
019900018;AGÊNCIA REGIONAL DO TRABALHO EM SEPETIBA;RJ;RIO DE JANEIRO;.;;99999999
019900019;AGÊNCIA REGIONAL DO TRABALHO NA TIJUCA;RJ;RIO DE JANEIRO;RUA DESEMBARGADOR IZIDRO, 41;TIJUCA;20521160
019900020;AGÊNCIA REGIONAL DO TRABALHO EM VILA ISABEL;RJ;RIO DE JANEIRO;.;;99999999
019900021;AGÊNCIA REGIONAL DO TRABALHO EM MADUREIRA II;RJ;RIO DE JANEIRO;XXX;;99999999
019900022;AGÊNCIA REGIONAL DO TRABALHO NA GÁVEA;RJ;RIO DE JANEIRO;.;;99999999
019901000;GERENCIA REGIONAL DO TRABALHO NO RIO DE JANEIRO;RJ;RIO DE JANEIRO;.;;99999999
019901001;AGÊNCIA DE ATENDIMENTO DE BANGU;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901002;AGÊNCIA DE ATENDIMENTO BARRA DA TIJUCA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901003;AGÊNCIA DE ATENDIMENTO DE BOTAFOGO;RJ;RIO DE JANEIRO;INCEXISTENTE;;20000000
019901004;AGÊNCIA DE ATENDIMENTO DE BONSUCESSO;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901005;AGÊNCIA DE ATENDIMENTO DE CAMPO GRANDE;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901006;AGÊNCIA DE ATENDIMENTO DE CASCADURA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901007;AGÊNCIA DE ATENDIMENTO CENTRAL DO BRASIL;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901008;AGÊNCIA DE ATENDIMENTO DE COPACABANA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901009;AGÊNCIA DE ATENDIMENTO DA GAVEA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901010;AGÊNCIA DE ATENDIMENTO ILHA DO GOVERNADOR;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901011;AGÊNCIA DE ATENDIMENTO DE IRAJA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901012;AGÊNCIA DE ATENDIMENTO DE JACAREPAGUA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901013;AGÊNCIA DE ATENDIMENTO DE MADUREIRA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901014;AGÊNCIA DE ATENDIMENTO MARECHAL HERMES;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901015;AGÊNCIA DE ATENDIMENTO DO MEIER;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901016;AGÊNCIA DE ATENDIMENTO DA PAVUNA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901017;AGÊNCIA DE ATENDIMENTO DA PENHA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901018;AGÊNCIA DE ATENDIMENTO DE RIO COMPRIDO;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901019;AGÊNCIA DE ATENDIMENTO DA RODOVIARIA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901020;AGÊNCIA DE ATENDIMENTO DE SANTA CRUZ;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901021;AGÊNCIA DE ATENDIMENTO DE SAO CRISTOVAO;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901022;AGÊNCIA DE ATENDIMENTO DE SEPETIBA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901023;AGÊNCIA DE ATENDIMENTO DA TIJUCA;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019901024;AGÊNCIA DE ATENDIMENTO DE VILA ISABEL;RJ;RIO DE JANEIRO;INEXISTENTE;;20000000
019903000;GERÊNCIA REGIONAL DO TRABALHO EM CAMPOS DOS GOYTACAZES;RJ;RIO DE JANEIRO;RUA DR. ACYR BASTOS,17;CENTRO;28010190
019909007;AGÊNCIA DE ATENDIMENTO MIGUEL PEREIRA;RJ;RIO DE JANEIRO;RUA CAP SENOBIO,13 LJA 3 PATY DE ALFERES;CENTRO;26950000
112000036;AGÊNCIA REGIONAL DO TRABALHO EM BANGU;RJ;RIO DE JANEIRO;RUA SILVA CARDOSO, 349;BANGU;21810032
112000037;AGÊNCIA REGIONAL DO TRABALHO EM COPACABANA;RJ;RIO DE JANEIRO;.;;99999999
019906006;AGÊNCIA DE ATENDIMENTO SANTA MARIA DE MADALENA;RJ;SANTA MARIA MADALENA;RUA BARAO DE MADALENA, S/N;;28770000
019903004;AGÊNCIA DE ATENDIMENTO STO ANTONIO DE PADUA;RJ;SANTO ANTÔNIO DE PÁDUA;RUA EMILIANO SILVA, 70 SALA 107/8;;28300000
019911004;AGÊNCIA REGIONAL DO TRABALHO EM SANTO ANTÔNIO DE  PÁDUA;RJ;SANTO ANTÔNIO DE PÁDUA;.;;99999999
112000104;AGÊNCIA REGIONAL DO TRABALHO EM SANTO ANTÔNIO DE PÁDUA;RJ;SANTO ANTÔNIO DE PÁDUA;.;;99999999
019902004;AGÊNCIA REGIONAL DO TRABALHO EM SAQUAREMA;RJ;SAQUAREMA;AV. SAQUAREMA, 5123;;28993000
019905006;AGÊNCIA DE ATENDIMENTO DE SAQUAREMA;RJ;SAQUAREMA;PREFEITURA MUNICIPAL DE SAQUAREMA;;28990000
019910002;AGÊNCIA DE ATENDIMENTO DE SEROPEDICA;RJ;SEROPÉDICA;INEXISTENTE;INEXISTENTE;21000000
019903009;AGÊNCIA REGIONAL DO TRABALHO EM SÃO FIDELIS;RJ;SÃO FIDÉLIS;RUA 5 DE MARÇO 180;;28400000
019903011;AGÊNCIA REGIONAL DO TRABALHO EM SÃO FRANCISCO DE ITABAPOANA;RJ;SÃO FRANCISCO DE ITABAPOANA;XXX;;99999999
019905005;AGÊNCIA REGIONAL DO TRABALHO EM SÃO GONÇALO;RJ;SÃO GONÇALO;RUA CORONEL MOREIRA CESAR, 75;;24440440
019903010;AGÊNCIA REGIONAL DO TRABALHO EM SÃO JOÃO DA BARRA;RJ;SÃO JOÃO DA BARRA;.;;99999999
019904004;AGÊNCIA REGIONAL DO TRABALHO EM SÃO JOÃO DO MERITI;RJ;SÃO JOÃO DE MERITI;.;;99999999
019904005;AGÊNCIA DE ATENDIMENTO SAO JOAO MERITI;RJ;SÃO JOÃO DE MERITI;RUA GESSY GONÇALVES PONTES, 190;;25520610
112000039;AGÊNCIA REGIONAL DO TRABALHO EM SÃO PEDRO DA ALDEIA;RJ;SÃO PEDRO DA ALDEIA;AV. SAO PEDRO S/Nº;;28940000
019906007;AGÊNCIA DE ATENDIMENTO DE TERESOPOLIS;RJ;TERESÓPOLIS;RUA MONTE LIBANO, 158;;25953020
019908002;AGÊNCIA REGIONAL DO TRABALHO EM TERESÓPOLIS;RJ;TERESÓPOLIS;R. MONTE LIBANO, 158 - 3º ANDAR - PRÉDIO DO INSS- SL. 56;;25953020
019904007;AGÊNCIA DE ATENDIMENTO DE TRES RIOS;RJ;TRÊS RIOS;RUA CONDESSA RIO NOVO, 1787/305;;25803000
019908003;AGÊNCIA REGIONAL DO TRABALHO EM TRÊS RIOS;RJ;TRÊS RIOS;RUA PRESIDENTE VARGAS, 507;CENTRO;25802200
019909004;AGÊNCIA REGIONAL DO TRABALHO EM VALENÇA;RJ;VALENÇA;TRAVESSA VENTURA ALVES SOUZA, 174, LOJA C;;27600000
019909005;AGÊNCIA REGIONAL DO TRABALHO EM VASSOURAS;RJ;VASSOURAS;AV. OTÁVIO GOMES, 39;CENTRO;27700000
019909000;GERÊNCIA REGIONAL DO TRABALHO EM VOLTA REDONDA;RJ;VOLTA REDONDA;AV LUCAS EVANGELISTA DE OLIVEIRA FRANCO, 63;ATERRADO;25685300
019909006;AGÊNCIA DE ATENDIMENTO DE VOLTA REDONDA;RJ;VOLTA REDONDA;INEXISTENTE;;20000000
034901001;AGENCIA REGIONAL DO TRABALHO EM ASSU;RN;AÇU;.;;99999999
034900001;AGÊNCIA REGIONAL DO TRABALHO EM CAICÓ;RN;CAICÓ;RUA JOSÉ HERMÍNIO, 525 - PARAÍBA.;;59300000
034900002;AGÊNCIA REGIONAL DO TRABALHO EM CURRAIS NOVOS;RN;CURRAIS NOVOS;AV. GETÚLIO VARGAS, 800-A, 1º ANDAR;MANOEL SALUSTINO;59380000
034900003;AGÊNCIA REGIONAL DO TRABALHO EM GOIANINHA;RN;GOIANINHA;.;;99999999
034900004;AGÊNCIA DE ATENDIMENTO DE MACAU;RN;MACAU;INEXISTENTE;;59500000
034901000;GERÊNCIA REGIONAL DO TRABALHO EM MOSSORÓ;RN;MOSSORÓ;PRAÇA ANTÔNIO GOMES, 06;CENTRO;59610150
034000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO RIO GRANDE DO NORTE;RN;NATAL;RUA DA FOSFORITA, 2327-A;Lagoa Nova;59076120
034900005;AGÊNCIA REGIONAL DO TRABALHO EM NOVA CRUZ;RN;NOVA CRUZ;.;;99999999
034901002;AGÊNCIA DE ATENDIMENTO DE PAU DOS FERROS;RN;PAU DOS FERROS;INEXISTENTE;;59900000
028900001;AGÊNCIA REGIONAL DO TRABALHO EM ARIQUEMES;RO;ARIQUEMES;AV. TANCREDO NEVES, 1680, SETOR 03;;76872870
028900002;AGÊNCIA REGIONAL DO TRABALHO EM GUAJARÁ-MIRIM;RO;GUAJARÁ-MIRIM;AV: ROCHA LEAL N.º 1383, BAIRRO CENTRO;;76908404
028900003;AGÊNCIA REGIONAL DO TRABALHO EM JI-PARANÁ ***A DESATIVAR;RO;JI-PARANÁ;RUA AVENIDA BRASIL N.º 1148, BAIRRO, BAIRRO NOVA BRASIL;;76908404
112000102;GERÊNCIA REGIONAL DO TRABALHO EM JI-PARANÁ;RO;JI-PARANÁ;RUA AVENIDA BRASIL N.º 1148;Nova Brasil;76908404
028000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO EM RONDÔNIA;RO;PORTO VELHO;RUA GUANABARA, 3480;Liberdade;76803842
028900004;AGÊNCIA REGIONAL DO TRABALHO EM VILHENA;RO;VILHENA;RUA PRINCESA ISABEL, N.º 227;CENTRO;76980158
040000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO EM RORAIMA;RR;BOA VISTA;AVENIDA MAJOR WILLIAMS, 1549;CENTRO;69301110
040900001;AGÊNCIA REGIONAL DO TRABALHO EM SÃO LUÍZ DO ANAUÁ;RR;BOA VISTA;.;;99999999
040900002;AGÊNCIA REGIONAL DO TRABALHO EM CARACARAÍ;RR;CARACARAÍ;AVENIDA PRESIDENTE KENNEDY, 1262  CENTRO;;69360000
040900003;AGÊNCIA REGIONAL DO TRABALHO EM RORAINÓPOLIS;RR;RORAINÓPOLIS;BR-174;;69373000
024901000;GERENCIA REGIONAL DO TRABALHO EM BAGÉ;RS;BAGÉ;AV. BARÃO DO TRINFO Nº 1024;Centro;96400121
024900001;AGÊNCIA DE ATENDIMENTO BARRA DO RIBEIRO;RS;BARRA DO RIBEIRO;RUA JOSE MONTAURY,367;CENTRO;96790000
024902001;AGÊNCIA DE ATENDIMENTO BENTO GONCALVES;RS;BENTO GONÇALVES;RUA JULIO DE CASTILHOS, 291 2 ANDAR;;95700000
024901002;AGÊNCIA DE ATENDIMENTO CACHOEIRA DO SUL;RS;CACHOEIRA DO SUL;RUA GENERAL PORTINHO, 1785;;96508060
024911000;GERENCIA REGIONAL DO TRABALHO EM CACHOEIRA DO SUL;RS;CACHOEIRA DO SUL;.;;99999999
024904001;AGÊNCIA DE ATENDIMENTO DE CAMAQUA;RS;CAMAQUÃ;RUA JULIO DE CASTILHOS, 499 SALA 21;;96180000
024902002;AGÊNCIA DE ATENDIMENTO DE CANELA;RS;CANELA;INEXISTENTE;;95680000
024900002;AGÊNCIA REGIONAL DO TRABALHO EM CANOAS;RS;CANOAS;XXXX;;99999999
024903001;AGÊNCIA DE ATENDIMENTO DE CARAZINHO;RS;CARAZINHO;AV. PATRIA, 525;;99500000
024910000;GERENCIA REGIONAL DO TRABALHO EM CARAZINHO;RS;CARAZINHO;.;;99999999
112000001;AGÊNCIA REGIONAL DO TRABALHO EM CARAZINHO;RS;CARAZINHO;.;;99500000
024902000;GERENCIA REGIONAL DO TRABALHO EM CAXIAS DO SUL;RS;CAXIAS DO SUL;BENTO GONÇALVES, 2621;SÃO PELEGRINO;95020412
024901001;AGÊNCIA DE ATENDIMENTO CACAPAVA DO SUL;RS;CAÇAPAVA DO SUL;INEXISTENTE;;96570000
024906001;AGÊNCIA DE ATENDIMENTO DE CRUZ ALTA;RS;CRUZ ALTA;RUA BENJAMIN CONSTANT, S/N  CP-03;;98100000
024913001;AGÊNCIA REGIONAL DO TRABALHO EM CRUZ ALTA;RS;CRUZ ALTA;RUA BARÃO DO RIO BRANCO, 1137;centro;98005030
024901003;AGÊNCIA DE ATENDIMENTO DE DOM PEDRITO;RS;DOM PEDRITO;RUA MOREIRA  CESAR, 1046;;96450000
024915001;AGÊNCIA REGIONAL DO TRABALHO EM DOM PEDRITO;RS;DOM PEDRITO;.;;99999999
024902003;AGÊNCIA DE ATENDIMENTO DE ENCANTADO;RS;ENCANTADO;RUA JOÃO LUCCA, 1867 SALA 08;;95960000
024903002;AGÊNCIA REGIONAL DO TRABALHO EM ERECHIM;RS;ERECHIM;..;;99999999
024908001;AGÊNCIA DE ATENDIMENTO DE ESTEIO;RS;ESTEIO;INEXISTENTE;;93200000
024902004;AGÊNCIA DE ATENDIMENTO DE ESTRELA;RS;ESTRELA;AV. RIO BRANCO, 553;;95880000
024902005;AGÊNCIA DE ATENDIMENTO DE FARROUPINHAS;RS;FARROUPILHA;INEXISTENTE;;95180000
024903003;AGÊNCIA DE ATENDIMENTO FREDERICO WESTPHALEN;RS;FREDERICO WESTPHALEN;INEXISTENTE;;98400000
024900003;AGÊNCIA DE ATENDIMENTO DE GRAVATAI;RS;GRAVATAÍ;INEXISTENTE;;94000000
024909001;AGÊNCIA REGIONAL DO TRABALHO EM GRAVATAÍ;RS;GRAVATAÍ;RUA JOSÉ MARIA DA FONSECA, 529, BAIRRO PASSO DAS PEDRAS;;94035190
024916001;AGÊNCIA REGIONAL DO TRABALHO EM  GRAVATAÍ;RS;GRAVATAÍ;.;;99999999
024900004;AGÊNCIA DE ATENDIMENTO DE GUAIBA;RS;GUAÍBA;RUA SETE DE SETEMBRO, 36;CENTRO;92500000
024906002;AGÊNCIA DE ATENDIMENTO DE HORIZONTINA;RS;HORIZONTINA;RUA SÃO CRISTOVÃO, 1386;;98920000
024906003;AGÊNCIA DE ATENDIMENTO DE IJUI;RS;IJUÍ;INEXISTENTE;;98700000
024913000;GERENCIA REGIONAL DO TRABALHO EM IJUI;RS;IJUÍ;.;;99999999
112000006;AGÊNCIA REGIONAL DO TRABALHO EM IJUÍ;RS;IJUÍ;AV. CORONEL DICO, Nº 671;CENTRO;98700000
024909006;AGÊNCIA DE ATENDIMENTO DE ITAQUI;RS;ITAQUI;INEXISTENTE;;97650000
024901004;AGÊNCIA DE ATENDIMENTO DE JAGUARAO;RS;JAGUARÃO;INEXISTENTE;;96300000
024905001;AGÊNCIA DE ATENDIMENTO JULIO CASTILHO;RS;JÚLIO DE CASTILHOS;RUA BETO SALES, 55;;98130000
024903004;AGÊNCIA DE ATENDIMENTO DE LAGOA VERMELHA;RS;LAGOA VERMELHA;INEXISTENTE;;95300000
024902006;AGÊNCIA DE ATENDIMENTO DE LAJEADO;RS;LAJEADO;AV/ BENJAMIM CONSTANT, 973 3 ANDAR;;95900000
024912000;GERENCIA REGIONAL DO TRABALHO EM LAJEADO;RS;LAJEADO;AV. BENJAMIN CONSTANT, N. 1058, SL. 04 E 05, SUBSOLO 1;CENTRO;95900104
024908002;AGÊNCIA DE ATENDIMENTO DE MONTENEGRO;RS;MONTENEGRO;RUA OLAVO BILAC, 1284;;95780000
024908003;AGÊNCIA DE ATENDIMENTO DE NOVO HAMBURGO;RS;NOVO HAMBURGO;RUA MIGUEL COUTO, 31;;93310000
024914000;GERENCIA REGIONAL DO TRABALHO EM NOVO HAMBURGO;RS;NOVO HAMBURGO;RUA TAMANDARÉ, Nº 221;BAIRRO PÁTRIA NOVA;93410150
024900005;AGÊNCIA DE ATENDIMENTO DE OSORIO;RS;OSÓRIO;RUA SETE DE SETEMBRO, 385;CENTRO;95520000
024916002;AGÊNCIA REGIONAL DO TRABALHO EM  OSÓRIO;RS;OSÓRIO;RUA BARÃO DO RIO BRANCO, 381;Centro;94660046
112000002;AGÊNCIA REGIONAL DO TRABALHO EM OSÓRIO;RS;OSÓRIO;RUA BARÃO DO RIO BRANCO, 381;Centro;94660046
024906004;AGÊNCIA DE ATENDIMENTO PALMEIRA DAS MISSOES;RS;PALMEIRA DAS MISSÕES;RUA BORGES DE MEDEIROS, 17;;98300000
024910001;AGÊNCIA REGIONAL DO TRABALHO EM PALMEIRA DAS MISSÕES;RS;PALMEIRA DAS MISSÕES;.;;99999999
024903005;AGÊNCIA DE ATENDIMENTO DE PANAMBI;RS;PANAMBI;INEXISTENTE;;98280000
024903000;GERENCIA REGIONAL DO TRABALHO EM PASSO FUNDO;RS;PASSO FUNDO;ANTÔNIO ARAÚJO, N° 1151, 2° ANDAR;CENTRO;99010220
024904000;GERENCIA REGIONAL DO TRABALHO EM PELOTAS;RS;PELOTAS;AV. SÃO FRANCISCO DE PAULA, Nº 1985;AREAL;96080730
024000000;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO RIO GRANDE DO SUL;RS;PORTO ALEGRE;AV. MAUA, 1013;CENTRO;90010110
024909002;AGÊNCIA DE ATENDIMENTO DE QUARAI;RS;QUARAÍ;RUA ASCANIO TUBINIO, 734;;97560000
024907000;GERENCIA REGIONAL DO TRABALHO EM RIO GRANDE;RS;RIO GRANDE;RUA GENERAL NETTO 386;CENTRO;96200010
024905004;AGÊNCIA DE ATENDIMENTO DE RIO PARDO;RS;RIO PARDO;RUA ANDRADE NEVES, 155;;96640000
024909003;AGÊNCIA DE ATENDIMENTO DE ROSARIO DO SUL;RS;ROSÁRIO DO SUL;INEXISTENTE;;97590000
024903006;AGÊNCIA DE ATENDIMENTO DE SANANDUVA;RS;SANANDUVA;RUA FREI GERALDO, 113;;99840000
024901005;AGÊNCIA DE ATENDIMENTO SANTANA DO LIVRAMENTO;RS;SANT'ANA DO LIVRAMENTO;RUA SILVEIRA MARTINS, 464;;97573610
024915000;GERENCIA REGIONAL DO TRABALHO EM SANTANA DO LIVRAMENTO;RS;SANT'ANA DO LIVRAMENTO;RUA SILVEIRA MARTINS, 464;Centro;87573508
112000097;AGÊNCIA REGIONAL DO TRABALHO EM SANTANA DO LIVRAMENTO;RS;SANT'ANA DO LIVRAMENTO;RUA SILVEIRA MARTINS, 464;Centro;87573508
024905002;AGÊNCIA DE ATENDIMENTO SANTA CRUZ DO SUL;RS;SANTA CRUZ DO SUL;RUA FERNANDO ABOTT Nº 82;CENTRO;96810150
024911001;AGÊNCIA REGIONAL DO TRABALHO EM SANTA CRUZ DO SUL;RS;SANTA CRUZ DO SUL;.;;99999999
024912001;AGÊNCIA DE ATENDIMENTO DE SANTA CRUZ DO SUL;RS;SANTA CRUZ DO SUL;INEXISTENTE;;95900000
112000000;GERENCIA REGIONAL DO TRABALHO EM SANTA CRUZ DO SUL;RS;SANTA CRUZ DO SUL;AVENIDA INDEPENDÊNCIA, Nº 78;CENTRO;96810206
024905000;GERENCIA REGIONAL DO TRABALHO EM SANTA MARIA;RS;SANTA MARIA;R. VALE MACHADO, N° 1390 ESQ. COM A RUA DR. FRANCISCO MARIANO DA ROCHA;CENTRO;97010530
024906005;AGÊNCIA REGIONAL DO TRABALHO EM SANTA ROSA;RS;SANTA ROSA;.;;99999999
024907001;AGÊNCIA DE ATENDIMENTO STA VITORIA DO PALMAR;RS;SANTA VITÓRIA DO PALMAR;INEXISTENTE;;96230000
024909004;AGÊNCIA DE ATENDIMENTO DE SANTIAGO;RS;SANTIAGO;INEXISTENTE;;97700000
024906000;GERENCIA REGIONAL DO TRABALHO EM SANTO ÂNGELO;RS;SANTO ÂNGELO;RUA DUQUE DE CAXIAS, N° 747 PRÉDIO C;Centro;98803412
024908004;AGÊNCIA DE ATENDIMENTO DE SAPIRANGA;RS;SAPIRANGA;RUA SETE DE SETEMBRO, 244-A;;93800000
024903007;AGÊNCIA DE ATENDIMENTO SERAFINA CORREA;RS;SERAFINA CORRÊA;INEXISTENTE;;99250000
024903008;AGÊNCIA DE ATENDIMENTO DE SOLEDADE;RS;SOLEDADE;INEXISTENTE;;99300000
024909005;AGÊNCIA REGIONAL DO TRABALHO EM SÃO BORJA;RS;SÃO BORJA;.;;99999999
024901006;AGÊNCIA DE ATENDIMENTO DE SAO GABRIEL;RS;SÃO GABRIEL;PRAÇA CAMILO MERCIO, 77;;97300000
024915002;AGÊNCIA DE ATENDIMENTO DE SAO GABRIEL;RS;SÃO GABRIEL;INEXISTENTE;;97050010
024900006;AGÊNCIA DE ATENDIMENTO DE SAO JERONIMO;RS;SÃO JERÔNIMO;RUA RIO BRANCO, 384;;96700000
024908000;GERENCIA REGIONAL DO TRABALHO EM SÃO LEOPOLDO;RS;SÃO LEOPOLDO;RUA CONCEIÇÃO, 364;CENTRO;93010070
024906006;AGÊNCIA DE ATENDIMENTO SAO LUIZ GONZAGA;RS;SÃO LUIZ GONZAGA;INEXISTENTE;;97800000
024902007;AGÊNCIA DE ATENDIMENTO DE SAO MARCOS;RS;SÃO MARCOS;INEXISTENTE;;95190000
024905003;AGÊNCIA DE ATENDIMENTO SAO PEDRO DO SUL;RS;SÃO PEDRO DO SUL;INEXISTENTE;;97400000
024900007;AGÊNCIA DE ATENDIMENTO DE TAPES;RS;TAPES;INEXISTENTE;;96760000
024908005;AGÊNCIA DE ATENDIMENTO DE TAQUARA;RS;TAQUARA;RUA GENERAL FROTA, S/N;;95600000
024900008;AGÊNCIA DE ATENDIMENTO DE TORRES;RS;TORRES;INEXISTENTE;;95560000
024900009;AGÊNCIA DE ATENDIMENTO DE TRAMANDAI;RS;TRAMANDAÍ;INEXISTENTE;;95590000
024908006;AGÊNCIA DE ATENDIMENTO DE TRES COROAS;RS;TRÊS COROAS;INEXISTENTE;;95660000
024906007;AGÊNCIA DE ATENDIMENTO DE TRES DE MAIO;RS;TRÊS DE MAIO;INEXISTENTE;;98910000
024906008;AGÊNCIA DE ATENDIMENTO DE TRES PASSOS;RS;TRÊS PASSOS;INEXISTENTE;;98600000
024909000;GERENCIA REGIONAL DO TRABALHO EM URUGUAIANA;RS;URUGUAIANA;RUA DOS ANDRADAS, N°1387, BAIRRO: SANTO ANTÔNIO;SANTO ANTÔNIO;97502114
024902008;AGÊNCIA REGIONAL DO TRABALHO EM VACARIA;RS;VACARIA;.;;99999999
024902009;AGÊNCIA DE ATENDIMENTO VENANCIO AIRES;RS;VENÂNCIO AIRES;INEXISTENTE;;95800000
024900010;AGÊNCIA DE ATENDIMENTO DE VIAMAO;RS;VIAMÃO;INEXISTENTE;;94400000
024916000;GERENCIA REGIONAL DO TRABALHO EM VIAMAO;RS;VIAMÃO;.;;99999999
023903001;AGÊNCIA REGIONAL DO TRABALHO EM ARARANGUÁ;SC;ARARANGUÁ;AVENIDA 15 DE NOVEMBRO, 911, CENTRO CÍVICO;CENTRO;88905112
023901001;AGÊNCIA REGIONAL DO TRABALHO EM BALNEÁRIO CAMBORIÚ;SC;BALNEÁRIO CAMBORIÚ;.;;99999999
112000024;AGÊNCIA REGIONAL DO TRABALHO EM BALNEÁRIO  CAMBORIÚ;SC;BALNEÁRIO CAMBORIÚ;ENDEREÇO...;Bairro ...;99999999
023901000;GERENCIA REGIONAL DO TRABALHO EM BLUMENAU;SC;BLUMENAU;ENDEREÇO ...;Bairro ...;99999999
112000027;AGÊNCIA REGIONAL DO TRABALHO EM BLUMENAU;SC;BLUMENAU;RUA SETE DE SETEMBRO, 933;CENTRO;89010203
023903003;AGÊNCIA REGIONAL DO TRABALHO EM BRAÇO DO NORTE;SC;BRAÇO DO NORTE;.;;99999999
023901002;AGÊNCIA REGIONAL DO TRABALHO EM  BRUSQUE;SC;BRUSQUE;ENDEREÇO ...;Bairro ...;99999999
112000025;AGÊNCIA REGIONAL DO TRABALHO EM BRUSQUE;SC;BRUSQUE;RUA GERMANO SCHAEFER, 31. PRAÇA DA CIDADANIA;CENTRO;88350170
023905001;AGÊNCIA REGIONAL DO TRABALHO EM CAÇADOR;SC;CAÇADOR;RUA DR. MOACIR SAMPAIO, 296;BERGER;89500253
023902000;GERÊNCIA REGIONAL DO TRABALHO EM CHAPECÓ;SC;CHAPECÓ;RUA MINAS GERAIS, 707-E;PRESIDENTE MÉDICI;89801200
