codigo;nr;gradacao
107214-5;NR-07;I2
107215-3;NR-07;I2
107216-1;NR-07;I2
107217-0;NR-07;I2
107218-8;NR-07;I2
107219-6;NR-07;I2
107220-0;NR-07;I1
107221-8;NR-07;I1
107222-6;NR-07;I2
107223-4;NR-07;I1
107224-2;NR-07;I2
107225-0;NR-07;I1
107226-9;NR-07;I1
107227-7;NR-07;I1
107228-5;NR-07;I1
107229-3;NR-07;I3
107230-7;NR-07;I3
107231-5;NR-07;I3
107232-3;NR-07;I3
107233-1;NR-07;I1
107234-0;NR-07;I3
107235-8;NR-07;I3
107236-6;NR-07;I3
107237-4;NR-07;I3
107238-2;NR-07;I3
107239-0;NR-07;I3
107240-4;NR-07;I2
107241-2;NR-07;I2
107242-0;NR-07;I2
107243-9;NR-07;I2
107244-7;NR-07;I4
107245-5;NR-07;I4
107246-3;NR-07;I4
107247-1;NR-07;I4
107248-0;NR-07;I4
107249-8;NR-07;I1
107250-1;NR-07;I4
107251-0;NR-07;I2
107252-8;NR-07;I3
107253-6;NR-07;I3
107254-4;NR-07;I4
107255-2;NR-07;I4
107256-0;NR-07;I2
107257-9;NR-07;I3
107258-7;NR-07;I4
107259-5;NR-07;I3
107260-9;NR-07;I3
107261-7;NR-07;I3
107262-5;NR-07;I3
107263-3;NR-07;I3
107264-1;NR-07;I3
107265-0;NR-07;I3
107266-8;NR-07;I3
107267-6;NR-07;I3
107268-4;NR-07;I3
107269-2;NR-07;I4
107270-6;NR-07;I4
107271-4;NR-07;I4
107272-2;NR-07;I3
107273-0;NR-07;I3
107274-9;NR-07;I3
107275-7;NR-07;I3
107276-5;NR-07;I3
107277-3;NR-07;I3
107278-1;NR-07;I4
107279-0;NR-07;I4
107280-3;NR-07;I4
107281-1;NR-07;I4
107282-0;NR-07;I3
107283-8;NR-07;I2
107284-6;NR-07;I3
107285-4;NR-07;I3
107286-2;NR-07;I3
107287-0;NR-07;I4
107288-9;NR-07;I3
107289-7;NR-07;I3
107290-0;NR-07;I3
107291-9;NR-07;I3
107292-7;NR-07;I3
107293-5;NR-07;I3
107294-3;NR-07;I3
107295-1;NR-07;I3
107296-0;NR-07;I3
107297-8;NR-07;I3
107298-6;NR-07;I3
107299-4;NR-07;I3
107300-1;NR-07;I3
107301-0;NR-07;I3
107302-8;NR-07;I4
107303-6;NR-07;I3
107304-4;NR-07;I4
107305-2;NR-07;I3
107306-0;NR-07;I4
107307-9;NR-07;I4
107308-7;NR-07;I2
107309-5;NR-07;I4
107310-9;NR-07;I3
107311-7;NR-07;I2
107312-5;NR-07;I3
107313-3;NR-07;I2
108031-8;NR-08;I2
108032-6;NR-08;I3
108033-4;NR-08;I4
108034-2;NR-08;I3
108035-0;NR-08;I3
108036-9;NR-08;I4
