codigo;nr;gradacao
132569-8;NR-32;I4
132570-1;NR-32;I4
132571-0;NR-32;I4
132572-8;NR-32;I4
132573-6;NR-32;I4
132574-4;NR-32;I4
132575-2;NR-32;I3
132576-0;NR-32;I2
132577-9;NR-32;I3
132578-7;NR-32;I3
132579-5;NR-32;I3
132580-9;NR-32;I3
132581-7;NR-32;I3
132582-5;NR-32;I3
132583-3;NR-32;I3
132584-1;NR-32;I3
132585-0;NR-32;I3
132586-8;NR-32;I3
132587-6;NR-32;I3
132588-4;NR-32;I2
132589-2;NR-32;I3
132590-6;NR-32;I3
132591-4;NR-32;I3
132592-2;NR-32;I4
132593-0;NR-32;I3
132594-9;NR-32;I2
132595-7;NR-32;I3
132596-5;NR-32;I3
132597-3;NR-32;I4
132598-1;NR-32;I4
132599-0;NR-32;I4
132600-7;NR-32;I3
132601-5;NR-32;I3
132602-3;NR-32;I3
132603-1;NR-32;I3
132604-0;NR-32;I3
132605-8;NR-32;I3
132606-6;NR-32;I3
132607-4;NR-32;I2
132608-2;NR-32;I3
132609-0;NR-32;I3
132610-4;NR-32;I2
132611-2;NR-32;I4
132612-0;NR-32;I3
132613-9;NR-32;I3
132614-7;NR-32;I4
132615-5;NR-32;I4
132616-3;NR-32;I4
132617-1;NR-32;I3
132618-0;NR-32;I4
132619-8;NR-32;I4
132620-1;NR-32;I4
132621-0;NR-32;I4
132622-8;NR-32;I4
132623-6;NR-32;I4
132624-4;NR-32;I3
132625-2;NR-32;I3
132626-0;NR-32;I2
132627-9;NR-32;I2
132628-7;NR-32;I3
132629-5;NR-32;I3
132630-9;NR-32;I2
132631-7;NR-32;I4
132632-5;NR-32;I4
132633-3;NR-32;I3
132634-1;NR-32;I3
132635-0;NR-32;I3
132636-8;NR-32;I3
132637-6;NR-32;I3
132638-4;NR-32;I3
132639-2;NR-32;I3
132640-6;NR-32;I4
132641-4;NR-32;I3
132642-2;NR-32;I3
132643-0;NR-32;I3
132644-9;NR-32;I3
132645-7;NR-32;I4
132646-5;NR-32;I3
132647-3;NR-32;I3
132648-1;NR-32;I3
132649-0;NR-32;I3
132650-3;NR-32;I4
132651-1;NR-32;I4
132652-0;NR-32;I4
132653-8;NR-32;I4
132654-6;NR-32;I4
132655-4;NR-32;I4
132656-2;NR-32;I4
132657-0;NR-32;I4
132658-9;NR-32;I4
132659-7;NR-32;I4
132660-0;NR-32;I4
132661-9;NR-32;I4
132662-7;NR-32;I4
132663-5;NR-32;I4
132664-3;NR-32;I4
132665-1;NR-32;I4
132666-0;NR-32;I4
132667-8;NR-32;I4
132668-6;NR-32;I4
132669-4;NR-32;I3
132670-8;NR-32;I4
132671-6;NR-32;I4
132672-4;NR-32;I3
132673-2;NR-32;I4
132674-0;NR-32;I4
132675-9;NR-32;I4
132676-7;NR-32;I2
132677-5;NR-32;I3
132678-3;NR-32;I3
132679-1;NR-32;I3
132680-5;NR-32;I3
132681-3;NR-32;I4
132682-1;NR-32;I4
132683-0;NR-32;I3
132684-8;NR-32;I3
132685-6;NR-32;I4
132686-4;NR-32;I3
132687-2;NR-32;I3
132688-0;NR-32;I3
132689-9;NR-32;I4
132690-2;NR-32;I4
132691-0;NR-32;I4
132692-9;NR-32;I4
132693-7;NR-32;I4
132694-5;NR-32;I4
132695-3;NR-32;I4
132696-1;NR-32;I2
132697-0;NR-32;I2
132698-8;NR-32;I3
132699-6;NR-32;I2
132700-3;NR-32;I3
132701-1;NR-32;I3
132702-0;NR-32;I2
132703-8;NR-32;I3
132704-6;NR-32;I3
132705-4;NR-32;I2
132706-2;NR-32;I4
132707-0;NR-32;I4
132708-9;NR-32;I2
132709-7;NR-32;I2
132710-0;NR-32;I2
132711-9;NR-32;I2
132712-7;NR-32;I2
132713-5;NR-32;I2
132714-3;NR-32;I2
132715-1;NR-32;I2
132716-0;NR-32;I2
132717-8;NR-32;I2
132718-6;NR-32;I3
132719-4;NR-32;I2
132720-8;NR-32;I3
132721-6;NR-32;I4
132722-4;NR-32;I4
132723-2;NR-32;I3
132724-0;NR-32;I2
132725-9;NR-32;I2
132726-7;NR-32;I2
132727-5;NR-32;I3
132728-3;NR-32;I4
132729-1;NR-32;I2
132730-5;NR-32;I2
132731-3;NR-32;I3
132732-1;NR-32;I3
132733-0;NR-32;I3
132734-8;NR-32;I3
132735-6;NR-32;I3
132736-4;NR-32;I4
132737-2;NR-32;I4
132738-0;NR-32;I3
132739-9;NR-32;I2
132740-2;NR-32;I3
132741-0;NR-32;I3
132742-9;NR-32;I3
132743-7;NR-32;I3
132744-5;NR-32;I4
132745-3;NR-32;I4
132746-1;NR-32;I4
132747-0;NR-32;I2
132748-8;NR-32;I3
132749-6;NR-32;I3
132750-0;NR-32;I3
132751-8;NR-32;I3
132752-6;NR-32;I2
132753-4;NR-32;I3
132754-2;NR-32;I3
132755-0;NR-32;I3
132756-9;NR-32;I3
133098-5;NR-33;I3
133099-3;NR-33;I3
133100-0;NR-33;I3
133101-9;NR-33;I3
133102-7;NR-33;I3
133103-5;NR-33;I3
133104-3;NR-33;I3
133105-1;NR-33;I3
133106-0;NR-33;I3
133107-8;NR-33;I4
133108-6;NR-33;I3
133109-4;NR-33;I3
133110-8;NR-33;I3
133111-6;NR-33;I4
133112-4;NR-33;I2
133113-2;NR-33;I4
133114-0;NR-33;I3
133115-9;NR-33;I3
133116-7;NR-33;I3
133117-5;NR-33;I4
133118-3;NR-33;I4
133119-1;NR-33;I4
133120-5;NR-33;I3
133121-3;NR-33;I4
133122-1;NR-33;I4
133123-0;NR-33;I4
133124-8;NR-33;I4
133125-6;NR-33;I4
133126-4;NR-33;I4
133127-2;NR-33;I4
133128-0;NR-33;I4
133129-9;NR-33;I4
133130-2;NR-33;I4
133131-0;NR-33;I3
133132-9;NR-33;I3
133133-7;NR-33;I3
133134-5;NR-33;I3
133135-3;NR-33;I3
133136-1;NR-33;I3
133137-0;NR-33;I3
133138-8;NR-33;I3
133139-6;NR-33;I3
133140-0;NR-33;I3
133141-8;NR-33;I4
133142-6;NR-33;I3
133143-4;NR-33;I3
134002-6;NR-34;I3
134003-4;NR-34;I4
134004-2;NR-34;I4
134005-0;NR-34;I4
134006-9;NR-34;I4
134007-7;NR-34;I4
134008-5;NR-34;I4
134009-3;NR-34;I4
134013-1;NR-34;I4
134023-9;NR-34;I4
134033-6;NR-34;I4
134034-4;NR-34;I4
134038-7;NR-34;I4
134039-5;NR-34;I4
134042-5;NR-34;I4
134047-6;NR-34;I4
134048-4;NR-34;I4
134049-2;NR-34;I3
134050-6;NR-34;I4
134051-4;NR-34;I4
134052-2;NR-34;I4
134055-7;NR-34;I2
134056-5;NR-34;I4
134185-5;NR-34;I3
134186-3;NR-34;I3
134187-1;NR-34;I3
134198-7;NR-34;I4
134199-5;NR-34;I4
134200-2;NR-34;I2
134201-0;NR-34;I4
134202-9;NR-34;I3
134203-7;NR-34;I3
134206-1;NR-34;I2
134207-0;NR-34;I4
134214-2;NR-34;I3
134215-0;NR-34;I4
134216-9;NR-34;I4
134217-7;NR-34;I4
134218-5;NR-34;I4
134219-3;NR-34;I4
134225-8;NR-34;I4
134226-6;NR-34;I4
134227-4;NR-34;I4
134228-2;NR-34;I4
134229-0;NR-34;I3
134230-4;NR-34;I3
134231-2;NR-34;I4
134232-0;NR-34;I4
134233-9;NR-34;I3
134234-7;NR-34;I4
134241-0;NR-34;I4
134242-8;NR-34;I4
134249-5;NR-34;I4
134250-9;NR-34;I3
134251-7;NR-34;I4
134252-5;NR-34;I4
134253-3;NR-34;I4
134269-0;NR-34;I3
134270-3;NR-34;I3
134275-4;NR-34;I3
134280-0;NR-34;I4
134286-0;NR-34;I4
134287-8;NR-34;I4
134330-0;NR-34;I3
134331-9;NR-34;I4
134332-7;NR-34;I3
134333-5;NR-34;I3
134334-3;NR-34;I4
134335-1;NR-34;I4
134336-0;NR-34;I4
134337-8;NR-34;I3
134345-9;NR-34;I3
134346-7;NR-34;I3
134347-5;NR-34;I3
134348-3;NR-34;I4
134349-1;NR-34;I4
134350-5;NR-34;I4
134351-3;NR-34;I4
134352-1;NR-34;I2
134353-0;NR-34;I3
134354-8;NR-34;I4
134355-6;NR-34;I2
134356-4;NR-34;I2
134357-2;NR-34;I3
134358-0;NR-34;I4
134359-9;NR-34;I3
134361-0;NR-34;I2
134369-6;NR-34;I3
134370-0;NR-34;I3
134371-8;NR-34;I4
134372-6;NR-34;I4
134373-4;NR-34;I4
134374-2;NR-34;I3
134375-0;NR-34;I4
134376-9;NR-34;I3
134377-7;NR-34;I4
134407-2;NR-34;I3
134417-0;NR-34;I3
134418-8;NR-34;I3
134419-6;NR-34;I3
134420-0;NR-34;I3
134421-8;NR-34;I3
134430-7;NR-34;I4
134431-5;NR-34;I4
134447-1;NR-34;I4
134454-4;NR-34;I3
134458-7;NR-34;I3
134459-5;NR-34;I4
134460-9;NR-34;I4
134461-7;NR-34;I4
134462-5;NR-34;I3
134463-3;NR-34;I4
134464-1;NR-34;I3
134465-0;NR-34;I4
134466-8;NR-34;I4
134467-6;NR-34;I4
134468-4;NR-34;I4
134469-2;NR-34;I4
134470-6;NR-34;I4
134471-4;NR-34;I3
134472-2;NR-34;I3
134473-0;NR-34;I3
134474-9;NR-34;I3
134478-1;NR-34;I4
134481-1;NR-34;I3
134489-7;NR-34;I2
134492-7;NR-34;I3
134493-5;NR-34;I3
134494-3;NR-34;I3
134495-1;NR-34;I3
134496-0;NR-34;I2
134497-8;NR-34;I3
134516-8;NR-34;I4
134520-6;NR-34;I4
134521-4;NR-34;I4
134522-2;NR-34;I4
134523-0;NR-34;I3
134524-9;NR-34;I4
134525-7;NR-34;I3
134526-5;NR-34;I4
134527-3;NR-34;I4
134530-3;NR-34;I3
134536-2;NR-34;I4
134540-0;NR-34;I3
134541-9;NR-34;I3
134545-1;NR-34;I3
134549-4;NR-34;I4
134553-2;NR-34;I4
134554-0;NR-34;I3
134562-1;NR-34;I3
134567-2;NR-34;I4
134568-0;NR-34;I4
134569-9;NR-34;I4
134570-2;NR-34;I4
134571-0;NR-34;I4
134575-3;NR-34;I4
134576-1;NR-34;I4
134577-0;NR-34;I4
134578-8;NR-34;I4
134579-6;NR-34;I4
134580-0;NR-34;I4
134581-8;NR-34;I4
134582-6;NR-34;I4
134583-4;NR-34;I4
134584-2;NR-34;I4
134585-0;NR-34;I4
134586-9;NR-34;I3
134587-7;NR-34;I2
134588-5;NR-34;I4
134589-3;NR-34;I4
134590-7;NR-34;I4
134591-5;NR-34;I4
134592-3;NR-34;I4
134593-1;NR-34;I4
134594-0;NR-34;I4
134595-8;NR-34;I3
134596-6;NR-34;I4
134597-4;NR-34;I4
134598-2;NR-34;I3
134599-0;NR-34;I4
134600-8;NR-34;I4
134601-6;NR-34;I4
134602-4;NR-34;I4
134603-2;NR-34;I4
134604-0;NR-34;I4
134605-9;NR-34;I3
134606-7;NR-34;I3
134607-5;NR-34;I3
134608-3;NR-34;I3
134609-1;NR-34;I3
134610-5;NR-34;I4
134613-0;NR-34;I4
134614-8;NR-34;I4
134615-6;NR-34;I4
134616-4;NR-34;I3
134617-2;NR-34;I2
134618-0;NR-34;I3
134619-9;NR-34;I4
134620-2;NR-34;I4
134621-0;NR-34;I3
134622-9;NR-34;I4
134623-7;NR-34;I4
134624-5;NR-34;I4
134625-3;NR-34;I4
134626-1;NR-34;I4
134627-0;NR-34;I4
134628-8;NR-34;I4
134629-6;NR-34;I4
134630-0;NR-34;I4
134631-8;NR-34;I4
134632-6;NR-34;I4
134633-4;NR-34;I4
134634-2;NR-34;I4
134635-0;NR-34;I2
134636-9;NR-34;I4
134637-7;NR-34;I3
134638-5;NR-34;I2
134639-3;NR-34;I4
134640-7;NR-34;I4
134641-5;NR-34;I2
134642-3;NR-34;I4
134660-1;NR-34;I4
134661-0;NR-34;I3
134662-8;NR-34;I3
134663-6;NR-34;I2
134664-4;NR-34;I2
134665-2;NR-34;I4
134666-0;NR-34;I3
134667-9;NR-34;I3
134668-7;NR-34;I4
134669-5;NR-34;I4
134670-9;NR-34;I4
134671-7;NR-34;I4
134672-5;NR-34;I2
134673-3;NR-34;I2
134674-1;NR-34;I2
134675-0;NR-34;I4
134676-8;NR-34;I4
134677-6;NR-34;I4
135164-8;NR-35;I3
135165-6;NR-35;I3
135166-4;NR-35;I3
135167-2;NR-35;I3
135168-0;NR-35;I3
135169-9;NR-35;I3
135170-2;NR-35;I3
135171-0;NR-35;I4
135172-9;NR-35;I3
135173-7;NR-35;I3
135174-5;NR-35;I4
135175-3;NR-35;I3
135176-1;NR-35;I2
135177-0;NR-35;I2
135178-8;NR-35;I3
135179-6;NR-35;I3
135180-0;NR-35;I2
135181-8;NR-35;I3
135182-6;NR-35;I2
135183-4;NR-35;I2
135184-2;NR-35;I2
135185-0;NR-35;I3
135186-9;NR-35;I3
135187-7;NR-35;I3
135188-5;NR-35;I3
135189-3;NR-35;I3
135190-7;NR-35;I3
135191-5;NR-35;I3
135192-3;NR-35;I3
135193-1;NR-35;I3
135194-0;NR-35;I3
135195-8;NR-35;I3
135196-6;NR-35;I3
135197-4;NR-35;I3
135198-2;NR-35;I3
135199-0;NR-35;I3
135200-8;NR-35;I3
135201-6;NR-35;I3
135202-4;NR-35;I2
135203-2;NR-35;I3
135204-0;NR-35;I3
135205-9;NR-35;I3
135206-7;NR-35;I3
135207-5;NR-35;I3
135208-3;NR-35;I4
135209-1;NR-35;I3
135210-5;NR-35;I3
135211-3;NR-35;I3
135212-1;NR-35;I4
135213-0;NR-35;I3
135214-8;NR-35;I3
135215-6;NR-35;I3
135216-4;NR-35;I3
135217-2;NR-35;I3
135218-0;NR-35;I4
135219-9;NR-35;I3
135220-2;NR-35;I2
135221-0;NR-35;I3
135222-9;NR-35;I4
135223-7;NR-35;I4
135224-5;NR-35;I4
135225-3;NR-35;I4
135226-1;NR-35;I4
135227-0;NR-35;I4
135228-8;NR-35;I4
135229-6;NR-35;I4
135230-0;NR-35;I4
135231-8;NR-35;I3
135232-6;NR-35;I3
135233-4;NR-35;I4
135234-2;NR-35;I4
135235-0;NR-35;I3
135236-9;NR-35;I3
135237-7;NR-35;I4
135238-5;NR-35;I3
135239-3;NR-35;I3
135240-7;NR-35;I3
135241-5;NR-35;I4
135242-3;NR-35;I4
135243-1;NR-35;I4
135244-0;NR-35;I4
135245-8;NR-35;I4
135246-6;NR-35;I4
135247-4;NR-35;I4
135248-2;NR-35;I3
135249-0;NR-35;I3
135250-4;NR-35;I3
135251-2;NR-35;I2
135252-0;NR-35;I3
135253-9;NR-35;I4
135254-7;NR-35;I4
135255-5;NR-35;I3
135256-3;NR-35;I3
135257-1;NR-35;I3
135258-0;NR-35;I4
135259-8;NR-35;I4
135260-1;NR-35;I4
135261-0;NR-35;I4
135262-8;NR-35;I4
135263-6;NR-35;I4
135264-4;NR-35;I4
135265-2;NR-35;I4
135266-0;NR-35;I4
135267-9;NR-35;I4
135268-7;NR-35;I3
135269-5;NR-35;I3
135270-9;NR-35;I3
135271-7;NR-35;I3
135272-5;NR-35;I3
135273-3;NR-35;I3
135274-1;NR-35;I2
135275-0;NR-35;I3
135276-8;NR-35;I3
135277-6;NR-35;I3
135278-4;NR-35;I3
136241-0;NR-36;I4
136242-9;NR-36;I4
136248-8;NR-36;I3
136263-1;NR-36;I4
136278-0;NR-36;I4
136297-6;NR-36;I3
136304-2;NR-36;I3
136305-0;NR-36;I3
136306-9;NR-36;I3
136307-7;NR-36;I3
136308-5;NR-36;I3
136316-6;NR-36;I3
136367-0;NR-36;I4
136372-7;NR-36;I4
136373-5;NR-36;I4
136375-1;NR-36;I4
136376-0;NR-36;I4
136377-8;NR-36;I4
136378-6;NR-36;I2
136383-2;NR-36;I3
136384-0;NR-36;I2
136385-9;NR-36;I2
136386-7;NR-36;I2
136387-5;NR-36;I3
136388-3;NR-36;I2
136389-1;NR-36;I2
136390-5;NR-36;I2
136391-3;NR-36;I2
136392-1;NR-36;I3
136393-0;NR-36;I2
136394-8;NR-36;I2
136395-6;NR-36;I2
136396-4;NR-36;I2
136397-2;NR-36;I2
136398-0;NR-36;I2
136399-9;NR-36;I2
136400-6;NR-36;I2
136401-4;NR-36;I2
136402-2;NR-36;I2
136403-0;NR-36;I2
136404-9;NR-36;I2
136405-7;NR-36;I2
136406-5;NR-36;I2
136407-3;NR-36;I2
136408-1;NR-36;I2
136409-0;NR-36;I2
136410-3;NR-36;I2
136411-1;NR-36;I2
136412-0;NR-36;I4
136413-8;NR-36;I3
136414-6;NR-36;I2
136415-4;NR-36;I2
136416-2;NR-36;I3
136417-0;NR-36;I3
136418-9;NR-36;I3
136419-7;NR-36;I3
136420-0;NR-36;I3
136421-9;NR-36;I2
136422-7;NR-36;I2
136423-5;NR-36;I2
136424-3;NR-36;I2
136425-1;NR-36;I2
136426-0;NR-36;I2
136427-8;NR-36;I2
136428-6;NR-36;I3
136429-4;NR-36;I3
136430-8;NR-36;I3
136431-6;NR-36;I3
136432-4;NR-36;I3
136433-2;NR-36;I3
136434-0;NR-36;I3
136435-9;NR-36;I3
136436-7;NR-36;I3
136437-5;NR-36;I3
136438-3;NR-36;I3
136439-1;NR-36;I3
136440-5;NR-36;I3
136441-3;NR-36;I3
136442-1;NR-36;I3
136443-0;NR-36;I3
136444-8;NR-36;I3
136445-6;NR-36;I2
136446-4;NR-36;I2
136447-2;NR-36;I2
136448-0;NR-36;I3
136449-9;NR-36;I3
136450-2;NR-36;I3
136451-0;NR-36;I3
136452-9;NR-36;I2
136453-7;NR-36;I2
136454-5;NR-36;I3
136455-3;NR-36;I3
136456-1;NR-36;I2
136457-0;NR-36;I2
136458-8;NR-36;I2
136459-6;NR-36;I2
136460-0;NR-36;I2
136461-8;NR-36;I3
136462-6;NR-36;I3
136463-4;NR-36;I4
136464-2;NR-36;I3
136465-0;NR-36;I3
136466-9;NR-36;I3
136467-7;NR-36;I3
136468-5;NR-36;I3
136469-3;NR-36;I4
136470-7;NR-36;I3
136471-5;NR-36;I3
136472-3;NR-36;I3
136473-1;NR-36;I4
136474-0;NR-36;I4
136475-8;NR-36;I3
136476-6;NR-36;I4
136477-4;NR-36;I3
136478-2;NR-36;I3
136479-0;NR-36;I3
136480-4;NR-36;I4
136481-2;NR-36;I3
136482-0;NR-36;I2
136483-9;NR-36;I2
136484-7;NR-36;I2
136485-5;NR-36;I2
136486-3;NR-36;I2
136487-1;NR-36;I3
136488-0;NR-36;I3
136489-8;NR-36;I3
136490-1;NR-36;I3
136491-0;NR-36;I2
136492-8;NR-36;I2
136493-6;NR-36;I2
136494-4;NR-36;I2
136495-2;NR-36;I2
136496-0;NR-36;I2
136497-9;NR-36;I3
136498-7;NR-36;I3
136499-5;NR-36;I3
136500-2;NR-36;I3
136501-0;NR-36;I3
136502-9;NR-36;I3
136503-7;NR-36;I3
136504-5;NR-36;I3
136505-3;NR-36;I3
136506-1;NR-36;I3
136507-0;NR-36;I3
136508-8;NR-36;I3
136509-6;NR-36;I3
136510-0;NR-36;I4
136511-8;NR-36;I4
136512-6;NR-36;I3
136513-4;NR-36;I4
136514-2;NR-36;I4
136515-0;NR-36;I4
136516-9;NR-36;I4
136517-7;NR-36;I4
136518-5;NR-36;I3
136519-3;NR-36;I4
136520-7;NR-36;I4
136521-5;NR-36;I4
136522-3;NR-36;I3
136523-1;NR-36;I3
136524-0;NR-36;I3
136525-8;NR-36;I3
136526-6;NR-36;I3
136527-4;NR-36;I3
136528-2;NR-36;I3
136529-0;NR-36;I3
136530-4;NR-36;I3
136531-2;NR-36;I4
136532-0;NR-36;I4
136533-9;NR-36;I3
136534-7;NR-36;I3
136535-5;NR-36;I3
136536-3;NR-36;I3
136537-1;NR-36;I3
136538-0;NR-36;I3
136539-8;NR-36;I3
136540-1;NR-36;I3
136541-0;NR-36;I3
136542-8;NR-36;I3
136543-6;NR-36;I3
136544-4;NR-36;I2
136545-2;NR-36;I2
136546-0;NR-36;I2
136547-9;NR-36;I2
136548-7;NR-36;I3
136549-5;NR-36;I3
136550-9;NR-36;I3
136551-7;NR-36;I3
136552-5;NR-36;I3
136553-3;NR-36;I3
136554-1;NR-36;I3
136555-0;NR-36;I3
136556-8;NR-36;I3
136557-6;NR-36;I2
136558-4;NR-36;I2
136559-2;NR-36;I3
136560-6;NR-36;I3
136561-4;NR-36;I3
136562-2;NR-36;I3
136563-0;NR-36;I3
136564-9;NR-36;I3
136565-7;NR-36;I2
136566-5;NR-36;I2
136567-3;NR-36;I2
136568-1;NR-36;I2
136569-0;NR-36;I3
136570-3;NR-36;I3
136571-1;NR-36;I3
136572-0;NR-36;I3
136573-8;NR-36;I3
136574-6;NR-36;I2
136575-4;NR-36;I2
136576-2;NR-36;I2
136577-0;NR-36;I3
136578-9;NR-36;I3
136579-7;NR-36;I3
136580-0;NR-36;I3
136581-9;NR-36;I3
136582-7;NR-36;I3
136583-5;NR-36;I3
136584-3;NR-36;I2
136585-1;NR-36;I2
136586-0;NR-36;I2
136587-8;NR-36;I2
136588-6;NR-36;I3
136589-4;NR-36;I2
136590-8;NR-36;I2
136591-6;NR-36;I2
136592-4;NR-36;I2
136593-2;NR-36;I2
136594-0;NR-36;I2
136595-9;NR-36;I3
136596-7;NR-36;I2
136597-5;NR-36;I2
136598-3;NR-36;I4
136599-1;NR-36;I3
136600-9;NR-36;I3
136601-7;NR-36;I3
136602-5;NR-36;I3
136603-3;NR-36;I2
136604-1;NR-36;I3
136605-0;NR-36;I3
136606-8;NR-36;I4
136607-6;NR-36;I3
136608-4;NR-36;I3
136609-2;NR-36;I3
136610-6;NR-36;I2
136611-4;NR-36;I2
136612-2;NR-36;I3
136613-0;NR-36;I3
136614-9;NR-36;I3
136615-7;NR-36;I3
136616-5;NR-36;I3
136617-3;NR-36;I3
136618-1;NR-36;I3
136619-0;NR-36;I3
136620-3;NR-36;I3
136621-1;NR-36;I3
136622-0;NR-36;I3
136623-8;NR-36;I3
136624-6;NR-36;I3
136625-4;NR-36;I3
136626-2;NR-36;I3
136627-0;NR-36;I3
136628-9;NR-36;I3
136629-7;NR-36;I3
136630-0;NR-36;I3
136631-9;NR-36;I3
136632-7;NR-36;I3
136633-5;NR-36;I3
136634-3;NR-36;I2
136635-1;NR-36;I2
136636-0;NR-36;I2
136637-8;NR-36;I2
136638-6;NR-36;I3
136639-4;NR-36;I3
136640-8;NR-36;I3
136641-6;NR-36;I3
136642-4;NR-36;I3
136643-2;NR-36;I3
136644-0;NR-36;I3
136645-9;NR-36;I2
136646-7;NR-36;I2
136647-5;NR-36;I2
136648-3;NR-36;I2
136649-1;NR-36;I2
136650-5;NR-36;I2
136651-3;NR-36;I3
136652-1;NR-36;I3
136653-0;NR-36;I3
136654-8;NR-36;I3
136655-6;NR-36;I3
136656-4;NR-36;I3
136657-2;NR-36;I3
136658-0;NR-36;I3
136659-9;NR-36;I3
136660-2;NR-36;I3
136661-0;NR-36;I2
136662-9;NR-36;I4
136663-7;NR-36;I3
136664-5;NR-36;I3
136665-3;NR-36;I3
136666-1;NR-36;I3
136667-0;NR-36;I3
136668-8;NR-36;I3
136669-6;NR-36;I3
136670-0;NR-36;I2
136671-8;NR-36;I3
136672-6;NR-36;I4
136673-4;NR-36;I4
136674-2;NR-36;I4
136675-0;NR-36;I4
136676-9;NR-36;I4
136677-7;NR-36;I4
136678-5;NR-36;I4
136679-3;NR-36;I4
136680-7;NR-36;I4
136681-5;NR-36;I4
136682-3;NR-36;I4
136683-1;NR-36;I4
136684-0;NR-36;I4
136685-8;NR-36;I3
136686-6;NR-36;I3
136687-4;NR-36;I3
136688-2;NR-36;I3
136689-0;NR-36;I3
136690-4;NR-36;I3
136691-2;NR-36;I4
136692-0;NR-36;I4
136693-9;NR-36;I4
136694-7;NR-36;I4
136695-5;NR-36;I3
136696-3;NR-36;I3
136697-1;NR-36;I3
136698-0;NR-36;I3
136699-8;NR-36;I3
136700-5;NR-36;I3
136701-3;NR-36;I3
136702-1;NR-36;I4
136703-0;NR-36;I4
136704-8;NR-36;I2
136705-6;NR-36;I4
136706-4;NR-36;I4
136707-2;NR-36;I4
136708-0;NR-36;I4
136709-9;NR-36;I4
136710-2;NR-36;I4
136711-0;NR-36;I3
136712-9;NR-36;I4
136713-7;NR-36;I3
136714-5;NR-36;I3
136715-3;NR-36;I3
136716-1;NR-36;I3
136717-0;NR-36;I3
136718-8;NR-36;I3
136719-6;NR-36;I1
136720-0;NR-36;I3
136721-8;NR-36;I3
136722-6;NR-36;I3
136723-4;NR-36;I3
136724-2;NR-36;I4
136725-0;NR-36;I4
136726-9;NR-36;I3
136727-7;NR-36;I2
136728-5;NR-36;I4
136729-3;NR-36;I3
136730-7;NR-36;I3
136731-5;NR-36;I3
136732-3;NR-36;I3
136733-1;NR-36;I3
136734-0;NR-36;I3
136735-8;NR-36;I3
136736-6;NR-36;I3
137312-9;NR-37;I3
137313-7;NR-37;I2
137314-5;NR-37;I3
137315-3;NR-37;I3
137316-1;NR-37;I3
137317-0;NR-37;I3
137318-8;NR-37;I3
137319-6;NR-37;I4
137320-0;NR-37;I2
137321-8;NR-37;I3
137322-6;NR-37;I3
137323-4;NR-37;I3
137324-2;NR-37;I3
137325-0;NR-37;I2
137326-9;NR-37;I2
137327-7;NR-37;I2
137328-5;NR-37;I3
137329-3;NR-37;I2
137330-7;NR-37;I4
137331-5;NR-37;I2
137332-3;NR-37;I3
137333-1;NR-37;I3
137334-0;NR-37;I3
137335-8;NR-37;I3
137336-6;NR-37;I3
137337-4;NR-37;I3
137338-2;NR-37;I3
137339-0;NR-37;I3
137340-4;NR-37;I3
137341-2;NR-37;I3
137342-0;NR-37;I3
137343-9;NR-37;I3
137344-7;NR-37;I3
137345-5;NR-37;I3
137346-3;NR-37;I3
137347-1;NR-37;I3
137348-0;NR-37;I3
137349-8;NR-37;I1
137350-1;NR-37;I3
137351-0;NR-37;I3
137352-8;NR-37;I3
137354-4;NR-37;I2
137355-2;NR-37;I2
137357-9;NR-37;I2
137358-7;NR-37;I2
137359-5;NR-37;I2
137360-9;NR-37;I3
137361-7;NR-37;I2
137362-5;NR-37;I2
137363-3;NR-37;I2
137364-1;NR-37;I2
137365-0;NR-37;I3
137366-8;NR-37;I3
137367-6;NR-37;I2
137368-4;NR-37;I2
137369-2;NR-37;I3
137370-6;NR-37;I3
137371-4;NR-37;I3
137372-2;NR-37;I3
137373-0;NR-37;I3
137374-9;NR-37;I3
137375-7;NR-37;I3
137376-5;NR-37;I3
137377-3;NR-37;I3
137378-1;NR-37;I3
137379-0;NR-37;I2
137380-3;NR-37;I2
137381-1;NR-37;I2
137382-0;NR-37;I3
137383-8;NR-37;I3
137384-6;NR-37;I3
137385-4;NR-37;I3
137386-2;NR-37;I3
137387-0;NR-37;I3
137388-9;NR-37;I3
137389-7;NR-37;I3
137390-0;NR-37;I2
137391-9;NR-37;I3
137392-7;NR-37;I3
137393-5;NR-37;I3
137394-3;NR-37;I3
137395-1;NR-37;I3
137396-0;NR-37;I1
137397-8;NR-37;I2
137398-6;NR-37;I3
137399-4;NR-37;I2
137400-1;NR-37;I3
137401-0;NR-37;I3
137402-8;NR-37;I2
137403-6;NR-37;I2
137404-4;NR-37;I2
137405-2;NR-37;I2
137406-0;NR-37;I2
137407-9;NR-37;I2
137408-7;NR-37;I2
137409-5;NR-37;I2
137410-9;NR-37;I2
137411-7;NR-37;I3
137412-5;NR-37;I2
137413-3;NR-37;I3
137414-1;NR-37;I3
137415-0;NR-37;I2
137416-8;NR-37;I2
137417-6;NR-37;I2
137418-4;NR-37;I2
137419-2;NR-37;I2
137420-6;NR-37;I1
137421-4;NR-37;I2
137422-2;NR-37;I2
137423-0;NR-37;I3
137424-9;NR-37;I3
137425-7;NR-37;I3
137426-5;NR-37;I2
137427-3;NR-37;I2
137428-1;NR-37;I3
